"","Inc","Capital","Hours","Age","Industry","Education","Marital","Occupation"
"5466",">$50K",0,46,59,"Govt","High School","Married","Admin"
"5467","<=$50K",0,16,75,"Private","Min","Divorced","Trades"
"5468","<=$50K",0,31,37,"Self-Emp","Min","Never Married","Admin"
"5469","<=$50K",0,2,84,"Private","Min","Never Married","Agricultural"
"5470","<=$50K",0,27,43,"Govt","High School","Married","Trades"
"5471","<=$50K",0,30,39,"Private","High School","Divorced","Management"
"5472",">$50K",0,28,66,"Private","Master","Married","Trades"
"5473","<=$50K",0,28,26,"Private","High School","Never Married","Agricultural"
"5474",">$50K",0,57,37,"Private","High School","Divorced","Admin"
"5475","<=$50K",0,22,75,"Other","Bach","Married","Agricultural"
"5476","<=$50K",0,19,72,"Private","Bach","Divorced","Admin"
"5477","<=$50K",0,32,25,"Private","High School","Married","Management"
"5478","<=$50K",0,11,78,"Private","Bach","Divorced","Trades"
"5479","<=$50K",0,26,40,"Private","High School","Married","Admin"
"5480",">$50K",0,58,37,"Private","Bach","Widowed","Management"
"5481",">$50K",0,55,50,"Private","High School","Married","Admin"
"5482",">$50K",0,35,44,"Other","Bach","Divorced","Management"
"5483",">$50K",0,42,37,"Private","High School","Never Married","Trades"
"5484",">$50K",0,62,24,"Private","Bach","Married","Specialist"
"5485","<=$50K",0,13,64,"Private","Min","Never Married","Admin"
"5486","<=$50K",0,17,71,"Govt","High School","Divorced","Agricultural"
"5487",">$50K",0,54,38,"Private","High School","Never Married","Management"
"5488",">$50K",0,55,54,"Private","Bach","Widowed","Specialist"
"5489",">$50K",0,32,54,"Private","Bach","Married","Trades"
"5490",">$50K",0,59,48,"Private","Bach","Married","Agricultural"
"5491","<=$50K",0,40,29,"Private","Bach","Married","Trades"
"5492","<=$50K",0,9,77,"Private","Min","Divorced","Management"
"5493","<=$50K",0,17,74,"Private","Bach","Never Married","Specialist"
"5494","<=$50K",0,26,71,"Private","Min","Married","Trades"
"5495",">$50K",0,34,65,"Govt","High School","Never Married","Trades"
"5496",">$50K",0,42,36,"Private","High School","Never Married","Specialist"
"5497",">$50K",0,50,61,"Private","Min","Married","Management"
"5498",">$50K",0,43,38,"Private","Bach","Married","Agricultural"
"5499",">$50K",0,35,39,"Self-Emp","Bach","Never Married","Management"
"5500","<=$50K",0,43,24,"Self-Emp","Bach","Married","Management"
"5501",">$50K",0,53,33,"Private","Min","Never Married","Admin"
"5502",">$50K",0,31,56,"Private","High School","Never Married","Trades"
"5503",">$50K",0,38,54,"Private","Master","Married","Specialist"
"5504",">$50K",0,31,59,"Private","Bach","Widowed","Specialist"
"5505","<=$50K",0,29,36,"Self-Emp","Bach","Never Married","Admin"
"5506",">$50K",0,34,58,"Private","High School","Divorced","Specialist"
"5507",">$50K",0,30,55,"Private","High School","Never Married","Trades"
"5508","<=$50K",3838,4,81,"Private","High School","Married","Agricultural"
"5509",">$50K",0,57,54,"Private","Min","Divorced","Admin"
"5510","<=$50K",0,32,36,"Self-Emp","Bach","Never Married","Agricultural"
"5511","<=$50K",0,3,83,"Govt","Bach","Married","Agricultural"
"5512",">$50K",0,82,45,"Private","Bach","Never Married","Management"
"5513","<=$50K",0,43,28,"Govt","Min","Never Married","Management"
"5514",">$50K",0,72,21,"Private","Master","Never Married","Specialist"
"5515","<=$50K",0,5,81,"Self-Emp","Min","Married","Agricultural"
"5516",">$50K",0,54,46,"Other","High School","Divorced","Agricultural"
"5517",">$50K",0,58,28,"Private","Bach","Married","Specialist"
"5518","<=$50K",0,10,76,"Private","Bach","Never Married","Management"
"5519","<=$50K",0,29,23,"Private","Master","Married","Agricultural"
"5520","<=$50K",0,35,26,"Govt","High School","Never Married","Agricultural"
"5521","<=$50K",0,6,81,"Self-Emp","Bach","Never Married","Admin"
"5522","<=$50K",0,33,33,"Private","Min","Divorced","Management"
"5523","<=$50K",0,18,31,"Private","Bach","Never Married","Agricultural"
"5524",">$50K",0,28,66,"Private","High School","Divorced","Admin"
"5525",">$50K",0,45,35,"Private","Min","Married","Admin"
"5526",">$50K",0,35,41,"Govt","High School","Married","Trades"
"5527",">$50K",0,71,30,"Private","Min","Divorced","Management"
"5528",">$50K",0,35,45,"Private","Bach","Married","Management"
"5529",">$50K",0,46,36,"Private","High School","Married","Management"
"5530","<=$50K",0,52,24,"Private","High School","Never Married","Management"
"5531","<=$50K",0,25,36,"Self-Emp","Min","Never Married","Trades"
"5532","<=$50K",0,22,71,"Private","Bach","Widowed","Admin"
"5533",">$50K",0,33,56,"Private","High School","Married","Agricultural"
"5534","<=$50K",0,25,32,"Private","Min","Married","Trades"
"5535",">$50K",0,32,47,"Private","High School","Married","Agricultural"
"5536","<=$50K",0,24,73,"Private","Master","Divorced","Admin"
"5537",">$50K",0,60,50,"Private","Bach","Married","Admin"
"5538",">$50K",0,65,49,"Private","Bach","Divorced","Management"
"5539",">$50K",0,49,33,"Private","Bach","Married","Admin"
"5540",">$50K",0,40,40,"Private","Min","Married","Admin"
"5541","<=$50K",0,33,21,"Other","High School","Never Married","Management"
"5542",">$50K",0,51,33,"Private","Min","Married","Trades"
"5543","<=$50K",0,44,22,"Private","High School","Never Married","Specialist"
"5544","<=$50K",0,34,25,"Private","Min","Married","Management"
"5545","<=$50K",0,18,72,"Self-Emp","Min","Never Married","Admin"
"5546",">$50K",0,57,27,"Private","High School","Never Married","Management"
"5547",">$50K",0,81,36,"Private","High School","Married","Management"
"5548","<=$50K",2592,33,26,"Self-Emp","Bach","Never Married","Management"
"5549",">$50K",0,29,68,"Private","Min","Married","Specialist"
"5550","<=$50K",0,52,19,"Self-Emp","Master","Married","Admin"
"5551",">$50K",1427,42,29,"Private","High School","Never Married","Admin"
"5552","<=$50K",0,29,72,"Private","High School","Divorced","Trades"
"5553","<=$50K",0,29,70,"Private","Min","Never Married","Specialist"
"5554","<=$50K",0,21,23,"Private","Min","Never Married","Admin"
"5555",">$50K",0,36,40,"Private","Bach","Divorced","Trades"
"5556",">$50K",0,34,49,"Private","Master","Never Married","Trades"
"5557","<=$50K",0,5,82,"Self-Emp","Master","Never Married","Admin"
"5558",">$50K",0,56,27,"Private","Min","Married","Specialist"
"5559",">$50K",0,39,59,"Private","Min","Married","Specialist"
"5560",">$50K",0,28,63,"Private","High School","Married","Trades"
"5561",">$50K",0,46,63,"Private","High School","Married","Specialist"
"5562",">$50K",0,66,48,"Private","High School","Divorced","Specialist"
"5563","<=$50K",0,38,32,"Self-Emp","Min","Married","Admin"
"5564","<=$50K",0,10,79,"Private","Min","Married","Specialist"
"5565",">$50K",681,27,53,"Private","Min","Never Married","Trades"
"5566",">$50K",0,36,60,"Govt","High School","Divorced","Agricultural"
"5567","<=$50K",0,36,19,"Govt","Bach","Married","Management"
"5568","<=$50K",3108,32,24,"Private","Bach","Never Married","Agricultural"
"5569",">$50K",1112,45,37,"Private","High School","Divorced","Specialist"
"5570",">$50K",0,34,53,"Govt","Bach","Widowed","Management"
"5571",">$50K",0,37,56,"Private","Bach","Married","Admin"
"5572","<=$50K",2567,19,23,"Private","Min","Never Married","Trades"
"5573",">$50K",0,39,58,"Private","Min","Divorced","Agricultural"
"5574","<=$50K",0,24,41,"Self-Emp","Min","Never Married","Trades"
"5575","<=$50K",0,7,79,"Govt","Bach","Married","Agricultural"
"5576","<=$50K",0,12,68,"Self-Emp","Bach","Married","Admin"
"5577",">$50K",0,39,33,"Private","High School","Widowed","Management"
"5578",">$50K",0,38,50,"Private","Master","Never Married","Management"
"5579",">$50K",0,62,45,"Private","Min","Married","Management"
"5580",">$50K",0,70,23,"Private","Bach","Divorced","Trades"
"5581",">$50K",0,42,43,"Private","Bach","Divorced","Specialist"
"5582","<=$50K",0,33,32,"Self-Emp","Bach","Divorced","Admin"
"5583","<=$50K",0,33,28,"Private","High School","Never Married","Management"
"5584",">$50K",0,34,67,"Private","Master","Never Married","Management"
"5585",">$50K",0,38,53,"Govt","Master","Married","Specialist"
"5586","<=$50K",0,5,81,"Private","Bach","Divorced","Management"
"5587","<=$50K",0,46,25,"Private","Bach","Married","Specialist"
"5588",">$50K",0,36,58,"Private","Bach","Divorced","Trades"
"5589",">$50K",1432,39,37,"Private","High School","Divorced","Management"
"5590",">$50K",0,48,48,"Private","Bach","Married","Admin"
"5591","<=$50K",0,35,19,"Govt","Min","Married","Specialist"
"5592",">$50K",0,36,56,"Private","Bach","Never Married","Trades"
"5593",">$50K",0,46,40,"Govt","High School","Married","Admin"
"5594","<=$50K",0,35,20,"Private","High School","Never Married","Agricultural"
"5595",">$50K",0,32,58,"Govt","High School","Divorced","Trades"
"5596",">$50K",0,44,29,"Private","High School","Divorced","Admin"
"5597",">$50K",0,58,36,"Private","Min","Divorced","Specialist"
"5598","<=$50K",0,22,66,"Private","Min","Married","Agricultural"
"5599","<=$50K",0,21,57,"Private","Bach","Married","Agricultural"
"5600",">$50K",0,29,48,"Govt","High School","Never Married","Admin"
"5601",">$50K",1604,54,23,"Private","Bach","Married","Admin"
"5602",">$50K",0,44,33,"Private","High School","Married","Specialist"
"5603","<=$50K",0,41,29,"Private","High School","Never Married","Trades"
"5604",">$50K",1831,39,44,"Private","Min","Divorced","Management"
"5605","<=$50K",0,27,26,"Private","High School","Married","Trades"
"5606","<=$50K",0,27,42,"Private","High School","Married","Agricultural"
"5607",">$50K",1382,36,48,"Private","Min","Divorced","Agricultural"
"5608",">$50K",0,34,36,"Private","Master","Divorced","Admin"
"5609",">$50K",0,40,51,"Private","High School","Married","Admin"
"5610","<=$50K",0,35,28,"Private","High School","Never Married","Trades"
"5611","<=$50K",0,33,29,"Self-Emp","Bach","Married","Trades"
"5612",">$50K",0,49,28,"Private","High School","Never Married","Admin"
"5613",">$50K",0,29,68,"Private","High School","Divorced","Admin"
"5614",">$50K",0,54,54,"Private","Min","Never Married","Admin"
"5615","<=$50K",0,29,71,"Self-Emp","Bach","Divorced","Specialist"
"5616","<=$50K",0,16,77,"Private","Bach","Never Married","Management"
"5617","<=$50K",0,21,21,"Private","High School","Never Married","Management"
"5618",">$50K",0,45,30,"Private","Bach","Married","Management"
"5619",">$50K",0,48,45,"Private","High School","Married","Admin"
"5620","<=$50K",0,16,76,"Private","High School","Married","Management"
"5621",">$50K",0,31,41,"Private","Bach","Married","Trades"
"5622","<=$50K",499,13,77,"Private","Min","Never Married","Agricultural"
"5623",">$50K",0,45,30,"Self-Emp","High School","Married","Management"
"5624",">$50K",0,35,60,"Private","Min","Divorced","Specialist"
"5625",">$50K",0,51,47,"Govt","High School","Never Married","Management"
"5626",">$50K",0,39,36,"Private","Min","Married","Management"
"5627",">$50K",0,33,64,"Private","Bach","Married","Specialist"
"5628",">$50K",0,61,55,"Govt","High School","Married","Trades"
"5629",">$50K",0,32,59,"Private","Bach","Married","Trades"
"5630","<=$50K",0,36,32,"Self-Emp","Bach","Never Married","Admin"
"5631","<=$50K",0,25,38,"Private","Min","Married","Agricultural"
"5632",">$50K",0,37,63,"Govt","Min","Married","Agricultural"
"5633","<=$50K",0,19,76,"Private","Bach","Married","Agricultural"
"5634",">$50K",0,50,29,"Other","High School","Married","Trades"
"5635",">$50K",0,41,47,"Private","Bach","Married","Admin"
"5636",">$50K",0,32,66,"Private","Bach","Married","Trades"
"5637",">$50K",0,28,60,"Private","Bach","Married","Admin"
"5638","<=$50K",0,13,77,"Other","Bach","Married","Management"
"5639","<=$50K",0,10,78,"Private","Min","Never Married","Agricultural"
"5640","<=$50K",0,24,66,"Private","Bach","Married","Management"
"5641",">$50K",0,48,60,"Private","Min","Never Married","Agricultural"
"5642","<=$50K",0,12,68,"Private","Master","Married","Specialist"
"5643",">$50K",0,50,43,"Private","Bach","Married","Trades"
"5644","<=$50K",0,27,37,"Private","Bach","Married","Specialist"
"5645",">$50K",0,48,56,"Private","Bach","Married","Trades"
"5646","<=$50K",0,22,38,"Private","Bach","Never Married","Admin"
"5647",">$50K",1717,37,41,"Private","Min","Never Married","Management"
"5648",">$50K",0,25,55,"Private","High School","Never Married","Agricultural"
"5649",">$50K",4203,23,70,"Private","Bach","Married","Admin"
"5650","<=$50K",0,27,70,"Private","Bach","Married","Trades"
"5651","<=$50K",0,30,25,"Self-Emp","Min","Never Married","Management"
"5652",">$50K",3230,45,27,"Private","Min","Married","Agricultural"
"5653","<=$50K",2307,26,30,"Self-Emp","Min","Never Married","Specialist"
"5654","<=$50K",0,11,77,"Private","Bach","Married","Trades"
"5655","<=$50K",0,26,19,"Govt","Min","Divorced","Specialist"
"5656","<=$50K",0,27,20,"Self-Emp","High School","Never Married","Specialist"
"5657",">$50K",0,45,28,"Private","High School","Never Married","Trades"
"5658",">$50K",0,36,45,"Private","Bach","Married","Specialist"
"5659","<=$50K",0,41,25,"Private","Bach","Married","Management"
"5660",">$50K",0,42,50,"Private","Bach","Divorced","Specialist"
"5661","<=$50K",0,25,19,"Other","Bach","Never Married","Trades"
"5662",">$50K",0,55,45,"Private","Bach","Married","Management"
"5663","<=$50K",0,12,72,"Private","High School","Never Married","Management"
"5664",">$50K",1962,29,62,"Private","Min","Married","Management"
"5665",">$50K",0,36,56,"Private","High School","Married","Agricultural"
"5666",">$50K",0,40,60,"Private","Master","Married","Specialist"
"5667","<=$50K",0,19,74,"Private","Bach","Divorced","Admin"
"5668","<=$50K",0,48,24,"Private","High School","Married","Trades"
"5669",">$50K",0,40,52,"Govt","Min","Widowed","Specialist"
"5670","<=$50K",0,31,32,"Govt","Bach","Never Married","Trades"
"5671","<=$50K",0,25,49,"Self-Emp","Min","Divorced","Admin"
"5672","<=$50K",0,22,25,"Govt","High School","Married","Management"
"5673","<=$50K",1430,21,53,"Private","Min","Married","Agricultural"
"5674","<=$50K",573,46,25,"Govt","Master","Married","Admin"
"5675",">$50K",0,33,71,"Private","High School","Divorced","Management"
"5676",">$50K",0,45,43,"Private","Min","Married","Management"
"5677",">$50K",0,37,52,"Private","Bach","Widowed","Specialist"
"5678","<=$50K",0,15,76,"Private","Bach","Married","Agricultural"
"5679",">$50K",0,26,50,"Private","Bach","Divorced","Management"
"5680","<=$50K",0,28,32,"Govt","High School","Never Married","Agricultural"
"5681","<=$50K",0,29,72,"Private","Bach","Married","Specialist"
"5682","<=$50K",0,19,40,"Other","Bach","Married","Management"
"5683","<=$50K",0,3,82,"Private","Min","Divorced","Management"
"5684","<=$50K",0,9,77,"Private","Min","Divorced","Admin"
"5685","<=$50K",0,18,72,"Private","Min","Divorced","Management"
"5686","<=$50K",0,40,26,"Private","High School","Married","Agricultural"
"5687",">$50K",0,41,59,"Private","High School","Never Married","Management"
"5688","<=$50K",0,30,29,"Private","High School","Divorced","Trades"
"5689","<=$50K",0,22,69,"Private","Min","Divorced","Admin"
"5690","<=$50K",0,10,71,"Self-Emp","Bach","Married","Agricultural"
"5691",">$50K",0,46,57,"Private","Min","Divorced","Agricultural"
"5692","<=$50K",0,22,29,"Private","Bach","Married","Admin"
"5693",">$50K",0,38,56,"Private","Bach","Divorced","Management"
"5694","<=$50K",0,24,69,"Govt","Bach","Married","Agricultural"
"5695",">$50K",0,46,50,"Private","Min","Married","Specialist"
"5696",">$50K",0,36,46,"Private","Bach","Never Married","Management"
"5697","<=$50K",0,35,23,"Private","High School","Married","Management"
"5698","<=$50K",0,19,73,"Private","Master","Divorced","Admin"
"5699","<=$50K",0,17,77,"Private","Master","Widowed","Specialist"
"5700",">$50K",0,31,68,"Govt","High School","Married","Management"
"5701","<=$50K",0,43,29,"Self-Emp","Master","Married","Agricultural"
"5702","<=$50K",0,13,77,"Govt","High School","Married","Agricultural"
"5703","<=$50K",0,6,82,"Private","Min","Widowed","Specialist"
"5704",">$50K",2625,42,33,"Private","High School","Never Married","Trades"
"5705","<=$50K",0,57,18,"Self-Emp","Bach","Never Married","Admin"
"5706",">$50K",0,89,24,"Govt","Bach","Never Married","Specialist"
"5707","<=$50K",0,44,25,"Private","High School","Married","Management"
"5708","<=$50K",0,6,81,"Private","Bach","Never Married","Management"
"5709",">$50K",0,34,63,"Govt","Bach","Never Married","Agricultural"
"5710","<=$50K",0,56,20,"Private","Min","Never Married","Trades"
"5711",">$50K",0,37,49,"Private","High School","Married","Specialist"
"5712","<=$50K",0,48,19,"Private","Min","Never Married","Admin"
"5713",">$50K",0,39,44,"Private","Bach","Never Married","Agricultural"
"5714","<=$50K",0,27,29,"Govt","Min","Married","Admin"
"5715",">$50K",0,45,57,"Private","High School","Never Married","Trades"
"5716",">$50K",0,41,31,"Private","Bach","Divorced","Trades"
"5717",">$50K",0,62,42,"Private","Min","Married","Trades"
"5718","<=$50K",0,26,75,"Self-Emp","High School","Never Married","Agricultural"
"5719","<=$50K",0,15,78,"Private","Min","Married","Specialist"
"5720","<=$50K",0,18,51,"Other","Bach","Married","Admin"
"5721",">$50K",0,58,61,"Private","Bach","Never Married","Management"
"5722","<=$50K",0,33,36,"Private","Min","Never Married","Specialist"
"5723","<=$50K",0,31,34,"Self-Emp","High School","Never Married","Agricultural"
"5724","<=$50K",0,24,39,"Private","Bach","Never Married","Agricultural"
"5725","<=$50K",0,19,32,"Private","Bach","Never Married","Specialist"
"5726","<=$50K",0,27,32,"Private","Min","Married","Trades"
"5727",">$50K",3382,38,26,"Private","Bach","Never Married","Specialist"
"5728",">$50K",0,39,33,"Private","Min","Married","Agricultural"
"5729",">$50K",0,38,69,"Private","Bach","Married","Agricultural"
"5730","<=$50K",0,34,34,"Private","High School","Divorced","Agricultural"
"5731","<=$50K",0,24,53,"Private","Master","Never Married","Specialist"
"5732",">$50K",0,30,68,"Private","Bach","Divorced","Agricultural"
"5733",">$50K",0,25,56,"Govt","Bach","Never Married","Management"
"5734","<=$50K",0,29,25,"Private","Min","Married","Trades"
"5735","<=$50K",0,23,57,"Self-Emp","Bach","Never Married","Management"
"5736",">$50K",0,33,63,"Private","High School","Never Married","Agricultural"
"5737",">$50K",0,38,35,"Private","High School","Divorced","Admin"
"5738",">$50K",0,33,63,"Private","Bach","Married","Management"
"5739",">$50K",0,34,61,"Private","High School","Never Married","Management"
"5740","<=$50K",0,22,55,"Private","Master","Married","Agricultural"
"5741",">$50K",0,54,65,"Govt","High School","Married","Admin"
"5742","<=$50K",0,41,29,"Self-Emp","High School","Never Married","Specialist"
"5743",">$50K",0,55,34,"Private","High School","Divorced","Specialist"
"5744","<=$50K",0,2,83,"Private","Bach","Never Married","Trades"
"5745",">$50K",1729,60,56,"Private","Bach","Divorced","Management"
"5746","<=$50K",0,5,83,"Private","Bach","Married","Agricultural"
"5747","<=$50K",0,16,73,"Self-Emp","Bach","Married","Agricultural"
"5748","<=$50K",0,30,18,"Private","Bach","Never Married","Management"
"5749",">$50K",0,36,59,"Private","Min","Never Married","Management"
"5750","<=$50K",0,34,32,"Govt","High School","Never Married","Admin"
"5751",">$50K",0,34,58,"Private","Bach","Married","Management"
"5752","<=$50K",0,2,84,"Self-Emp","Bach","Divorced","Admin"
"5753",">$50K",0,43,32,"Private","Bach","Divorced","Trades"
"5754","<=$50K",0,7,81,"Govt","High School","Divorced","Agricultural"
"5755","<=$50K",0,15,79,"Other","High School","Never Married","Agricultural"
"5756","<=$50K",0,38,24,"Private","Min","Married","Agricultural"
"5757","<=$50K",0,19,75,"Private","High School","Married","Agricultural"
"5758",">$50K",0,44,57,"Private","High School","Never Married","Trades"
"5759","<=$50K",0,26,65,"Govt","Min","Married","Management"
"5760",">$50K",0,42,58,"Private","Bach","Married","Management"
"5761","<=$50K",0,14,75,"Private","Bach","Married","Agricultural"
"5762",">$50K",0,42,60,"Private","Bach","Divorced","Management"
"5763",">$50K",0,61,37,"Private","High School","Married","Admin"
"5764",">$50K",0,37,65,"Govt","High School","Widowed","Agricultural"
"5765","<=$50K",0,16,71,"Private","High School","Married","Agricultural"
"5766",">$50K",0,44,56,"Govt","Min","Married","Specialist"
"5767","<=$50K",0,20,76,"Private","Min","Divorced","Admin"
"5768","<=$50K",0,3,81,"Private","Bach","Divorced","Agricultural"
"5769",">$50K",0,34,71,"Private","Bach","Never Married","Management"
"5770","<=$50K",0,16,73,"Private","Master","Divorced","Admin"
"5771",">$50K",5647,21,52,"Private","High School","Never Married","Specialist"
"5772","<=$50K",0,14,38,"Private","Min","Never Married","Agricultural"
"5773",">$50K",0,67,21,"Private","High School","Divorced","Admin"
"5774",">$50K",0,43,50,"Private","Master","Married","Admin"
"5775",">$50K",0,37,45,"Private","Bach","Married","Agricultural"
"5776","<=$50K",0,7,80,"Self-Emp","Bach","Married","Management"
"5777","<=$50K",0,7,80,"Govt","Bach","Never Married","Specialist"
"5778",">$50K",0,33,47,"Private","Min","Divorced","Agricultural"
"5779","<=$50K",0,13,64,"Private","High School","Never Married","Specialist"
"5780",">$50K",1338,40,46,"Private","Bach","Widowed","Specialist"
"5781","<=$50K",0,27,39,"Private","Master","Never Married","Management"
"5782","<=$50K",0,13,70,"Private","Bach","Married","Agricultural"
"5783",">$50K",0,36,58,"Private","Min","Divorced","Agricultural"
"5784",">$50K",0,45,65,"Private","Bach","Never Married","Specialist"
"5785","<=$50K",0,5,81,"Govt","Bach","Never Married","Trades"
"5786",">$50K",0,59,34,"Private","Master","Never Married","Agricultural"
"5787",">$50K",0,53,28,"Private","Bach","Divorced","Trades"
"5788",">$50K",0,41,50,"Govt","Bach","Divorced","Agricultural"
"5789","<=$50K",0,23,34,"Private","High School","Never Married","Agricultural"
"5790",">$50K",0,44,66,"Private","Bach","Married","Trades"
"5791",">$50K",0,32,68,"Govt","Bach","Divorced","Specialist"
"5792",">$50K",0,30,43,"Private","High School","Married","Trades"
"5793",">$50K",0,65,50,"Private","Bach","Married","Agricultural"
"5794","<=$50K",5277,8,80,"Private","Bach","Married","Trades"
"5795",">$50K",0,41,68,"Private","Master","Widowed","Agricultural"
"5796","<=$50K",0,45,20,"Private","Master","Married","Management"
"5797",">$50K",0,49,56,"Private","Min","Widowed","Specialist"
"5798","<=$50K",0,35,18,"Private","Min","Never Married","Management"
"5799","<=$50K",0,50,24,"Private","High School","Never Married","Specialist"
"5800","<=$50K",0,14,75,"Private","High School","Widowed","Trades"
"5801",">$50K",1554,32,39,"Private","Bach","Married","Agricultural"
"5802","<=$50K",0,41,22,"Self-Emp","Min","Never Married","Agricultural"
"5803","<=$50K",0,1,84,"Self-Emp","Min","Never Married","Agricultural"
"5804","<=$50K",0,11,75,"Private","High School","Divorced","Agricultural"
"5805","<=$50K",0,38,32,"Private","Bach","Married","Admin"
"5806",">$50K",0,39,45,"Private","Min","Never Married","Management"
"5807","<=$50K",0,20,65,"Private","Min","Married","Specialist"
"5808",">$50K",0,44,38,"Private","Bach","Married","Management"
"5809",">$50K",0,60,43,"Private","Bach","Married","Management"
"5810",">$50K",0,38,34,"Private","High School","Never Married","Agricultural"
"5811","<=$50K",0,15,75,"Private","Min","Never Married","Management"
"5812","<=$50K",0,48,23,"Private","Bach","Divorced","Agricultural"
"5813",">$50K",0,41,36,"Private","Bach","Married","Trades"
"5814","<=$50K",0,3,83,"Govt","Master","Never Married","Trades"
"5815",">$50K",0,50,53,"Private","Min","Divorced","Agricultural"
"5816","<=$50K",0,32,73,"Govt","Master","Married","Trades"
"5817",">$50K",0,43,67,"Private","Bach","Divorced","Specialist"
"5818",">$50K",0,49,41,"Private","Bach","Never Married","Admin"
"5819","<=$50K",0,23,32,"Private","High School","Never Married","Agricultural"
"5820",">$50K",0,65,43,"Private","High School","Married","Trades"
"5821","<=$50K",0,13,55,"Private","Bach","Married","Agricultural"
"5822",">$50K",0,54,38,"Private","Min","Divorced","Management"
"5823",">$50K",0,34,46,"Private","High School","Never Married","Trades"
"5824","<=$50K",1459,11,78,"Private","Bach","Married","Trades"
"5825",">$50K",0,51,50,"Private","Bach","Never Married","Admin"
"5826","<=$50K",0,11,69,"Private","Bach","Married","Management"
"5827",">$50K",0,47,43,"Private","Bach","Never Married","Specialist"
"5828",">$50K",0,37,36,"Private","Min","Married","Specialist"
"5829","<=$50K",0,8,79,"Private","Min","Married","Management"
"5830",">$50K",0,33,49,"Govt","Bach","Married","Trades"
"5831",">$50K",4814,35,62,"Private","Bach","Married","Specialist"
"5832",">$50K",0,40,61,"Private","High School","Married","Admin"
"5833",">$50K",0,50,47,"Private","High School","Never Married","Admin"
"5834",">$50K",0,48,56,"Private","High School","Married","Management"
"5835","<=$50K",0,23,24,"Private","High School","Divorced","Agricultural"
"5836",">$50K",0,43,56,"Private","Min","Married","Trades"
"5837","<=$50K",0,30,19,"Private","Min","Never Married","Admin"
"5838","<=$50K",1024,36,22,"Govt","Master","Divorced","Agricultural"
"5839","<=$50K",0,20,23,"Private","High School","Married","Trades"
"5840",">$50K",0,34,59,"Private","High School","Married","Management"
"5841",">$50K",0,40,48,"Govt","Bach","Married","Agricultural"
"5842","<=$50K",0,24,31,"Private","Bach","Married","Management"
"5843",">$50K",0,56,47,"Private","Min","Never Married","Specialist"
"5844",">$50K",0,41,39,"Private","Min","Married","Trades"
"5845","<=$50K",0,21,71,"Private","Master","Divorced","Trades"
"5846",">$50K",0,49,55,"Private","Bach","Married","Admin"
"5847","<=$50K",0,6,82,"Private","Min","Never Married","Admin"
"5848","<=$50K",0,19,69,"Private","High School","Married","Specialist"
"5849","<=$50K",0,24,50,"Private","Master","Married","Specialist"
"5850","<=$50K",0,23,62,"Private","High School","Married","Trades"
"5851",">$50K",0,33,61,"Private","High School","Never Married","Agricultural"
"5852",">$50K",0,52,35,"Private","Bach","Never Married","Admin"
"5853","<=$50K",0,8,76,"Govt","High School","Divorced","Agricultural"
"5854","<=$50K",0,42,20,"Private","Bach","Married","Agricultural"
"5855",">$50K",0,34,42,"Private","High School","Never Married","Specialist"
"5856","<=$50K",0,35,22,"Private","High School","Divorced","Agricultural"
"5857","<=$50K",0,19,75,"Self-Emp","Bach","Never Married","Specialist"
"5858",">$50K",2887,67,19,"Private","Bach","Never Married","Management"
"5859",">$50K",2362,25,65,"Private","Min","Never Married","Admin"
"5860",">$50K",0,30,51,"Govt","Bach","Married","Trades"
"5861","<=$50K",0,24,40,"Private","Bach","Married","Agricultural"
"5862","<=$50K",1904,12,70,"Self-Emp","Master","Married","Management"
"5863","<=$50K",0,39,23,"Private","Bach","Never Married","Agricultural"
"5864","<=$50K",0,20,72,"Private","Min","Never Married","Admin"
"5865",">$50K",0,59,46,"Private","Bach","Never Married","Admin"
"5866",">$50K",0,53,57,"Private","Bach","Never Married","Management"
"5867",">$50K",0,51,40,"Private","Master","Never Married","Trades"
"5868","<=$50K",0,14,70,"Private","Min","Married","Agricultural"
"5869",">$50K",0,52,52,"Private","High School","Divorced","Management"
"5870","<=$50K",0,25,44,"Private","Bach","Never Married","Trades"
"5871","<=$50K",0,25,30,"Self-Emp","Min","Married","Specialist"
"5872","<=$50K",1036,10,79,"Govt","High School","Married","Management"
"5873","<=$50K",1605,2,84,"Private","Bach","Married","Trades"
"5874","<=$50K",0,28,70,"Private","Bach","Married","Trades"
"5875",">$50K",0,29,68,"Private","Master","Married","Agricultural"
"5876",">$50K",1273,33,57,"Private","Min","Divorced","Agricultural"
"5877","<=$50K",0,29,36,"Self-Emp","Min","Never Married","Trades"
"5878",">$50K",0,43,61,"Private","High School","Never Married","Management"
"5879","<=$50K",2891,9,79,"Govt","Bach","Divorced","Management"
"5880","<=$50K",0,31,30,"Self-Emp","Bach","Never Married","Admin"
"5881",">$50K",0,58,39,"Private","Bach","Married","Trades"
"5882","<=$50K",0,34,33,"Private","Min","Married","Specialist"
"5883",">$50K",0,51,28,"Private","Bach","Married","Management"
"5884",">$50K",0,30,46,"Private","Bach","Never Married","Specialist"
"5885",">$50K",0,30,62,"Private","Bach","Married","Admin"
"5886",">$50K",0,28,43,"Private","Master","Married","Specialist"
"5887",">$50K",0,42,50,"Govt","Bach","Married","Management"
"5888","<=$50K",1724,42,22,"Other","Bach","Married","Trades"
